ID,Descrição,Status,Observação
1,Verificar se o logo da Petz está visível e posicionado no canto superior esquerdo em todas as páginas,Aprovado,
2,Verificar se o menu está disponivel em todas as paginas ,Aprovado,
3,"Verificar se no menu tem as seções: cachorro, gato, pássaro, peixe, outros pets, casa e jardim, promoções, serviços, clubz e recompra ",Aprovado,
4,"Passar o cursor do mouse na categoria ""cachorro"" exibe um submenu ",Aprovado,
5,"Passar o cursor do mouse na categoria ""gato"" exibe um submenu ",Aprovado,
6,"Passar o cursor do mouse na categoria ""pássaro"" exibe um submenu ",Aprovado,
7,"Passar o cursor do mouse na categoria ""peixe"" exibe um submenu ",Aprovado,
8,"Passar o cursor do mouse na categoria ""outros pets"" exibe um submenu ",Aprovado,
9,"Passar o cursor do mouse na categoria ""casa e jardim"" exibe um submenu ",Aprovado,
10,Verificar se o submenu desaparece ao passar o cursor do mouse fora dele.,Aprovado,
11,Verificar se a ordem e os itens do menu são consistentes em todas as páginas.,Aprovado,
12,Verificar se ao passar o mouse sobre os itens do menu ocorre destaque,Aprovado,
13,Verificar se o ícone de contato está visível e posicionado no canto superior direito em todas as páginas,Aprovado,
14,Verificar se o ícone de favoritos está visível e posicionado no canto superior direito em todas as páginas,Aprovado,
15,Verificar se o ícone de sacola está visível e posicionado no canto superior direito em todas as páginas,Aprovado,
16,Verificar se a opção de login e cadastro está visível e posicionado no canto superior direito em todas as páginas,Aprovado,
17,Verificar se o quadro de busca está visível e centralizado no meio da tela em todas as páginas ,Aprovado,
